CID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,Score
60,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4
61,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5
62,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,6
63,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,7
64,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,6
65,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,5
66,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4
67,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,6
68,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,5
69,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,7
70,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,5
71,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,6
72,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,5
73,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3
74,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,7
75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,4
76,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,6
77,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5
78,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,4
79,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,6
80,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,6
81,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,7
82,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,6
83,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,2
84,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,6
85,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,5
86,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,7
87,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,2
88,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,5
89,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,6
90,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,8
91,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,6
92,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,8
93,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,4
94,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,6
95,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,5
96,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,4
97,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,7
98,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,6
99,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,5
100,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2
101,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,6
102,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,7
103,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,7
104,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,2
105,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,7
106,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,6
107,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,4
108,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,4
109,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,6
110,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4
111,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,3
112,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,8
113,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,7
114,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,5
115,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,6
116,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,6
117,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,6
118,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,6
119,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,4
120,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
121,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,6
122,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,4
123,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,5
124,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,5
125,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,6
126,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,5
127,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,2
128,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,6
129,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,6
130,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,7
131,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,4
132,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,3
133,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3
134,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,2
135,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,6
136,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,3
137,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,6
138,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2
139,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,4
140,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,6
141,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,8
142,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,7
143,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,4
144,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,3
145,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,3
146,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,3
147,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,6
148,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,5
149,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,6
150,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,7
151,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,7
152,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,6
153,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,5
154,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,6
155,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,3
156,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,6
157,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,6
158,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,7
159,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,8
160,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,4
161,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,3
162,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,5
163,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,6
164,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,2
165,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,3
166,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,5
167,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,5
168,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,7
169,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,5
170,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,7
171,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,6
172,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,5
173,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,5
174,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,8
175,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,4
176,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,8
177,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,5
178,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,9
179,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,6
180,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,6
181,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,6
182,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,5
183,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,8
184,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5
185,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,6
186,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,7
187,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,5
188,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,4
189,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,7
190,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,5
191,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,5
192,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,6
193,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,6
194,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,6
195,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,3
196,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,4
197,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,7
198,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,4
199,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,9
200,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,4
201,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,7
202,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,6
203,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,4
204,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,3
205,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,4
206,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,8
207,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,5
208,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,6
209,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,5
210,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,4
211,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,4
212,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,5
213,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,4
214,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,2
215,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,6
216,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,6
217,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,6
218,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,3
219,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,5
220,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,5
221,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,8
222,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,5
223,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,7
224,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,5
225,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,5
226,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,5
227,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,3
228,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,6
229,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,3
230,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,6
231,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,6
232,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,3
233,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,4
234,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,5
235,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,5
236,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,9
237,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,4
238,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,4
239,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,5
240,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,8
241,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,5
242,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,7
243,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,8
244,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,3
245,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,6
246,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,5
247,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2
248,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,6
249,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,4
250,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,6
251,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,9
252,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,8
253,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,9
254,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,2
255,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,5
256,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,6
257,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,6
258,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,4
259,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,7
260,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,6
261,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,9
262,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,5
263,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,5
264,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,7
265,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,8
266,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,3
267,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,8
268,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,7
269,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,3
270,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,8
271,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4
272,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,9
273,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3
274,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,7
275,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,4
276,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,5
277,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,6
278,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,7
279,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,3
280,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,3
281,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,6
282,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,8
283,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,6
284,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,6
285,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,6
286,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,6
287,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,8
288,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,7
289,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,6
290,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,6
291,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,6
292,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,3
293,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,3
294,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4
295,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,5
296,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,6
297,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,9
298,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,5
299,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,6
300,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,3
301,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,5
302,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,6
303,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,6
304,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,6
305,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,6
306,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2
307,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,6
308,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,4
309,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,7
310,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,9
311,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,6
312,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,5
313,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,2
314,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,6
315,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,6
316,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,6
317,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,9
318,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,6
319,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
320,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,8
321,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,7
322,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,5
323,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,5
324,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,6
325,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,7
326,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,6
327,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,5
328,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,4
329,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,7
330,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,7
331,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,3
332,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,6
333,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,6
334,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,4
335,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,5
336,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,6
337,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,8
338,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,5
339,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,7
340,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,6
341,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,7
342,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,8
343,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,4
344,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,5
345,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,6
346,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,9
347,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,8
